"Notes"	"Year"	"Year Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"18 weeks"	"18"	17
	"2007"	"2007"	"19 weeks"	"19"	17
	"2007"	"2007"	"20 weeks"	"20"	46
	"2007"	"2007"	"21 weeks"	"21"	69
	"2007"	"2007"	"22 weeks"	"22"	87
	"2007"	"2007"	"23 weeks"	"23"	134
	"2007"	"2007"	"24 weeks"	"24"	200
	"2007"	"2007"	"25 weeks"	"25"	240
	"2007"	"2007"	"26 weeks"	"26"	298
	"2007"	"2007"	"27 weeks"	"27"	320
	"2007"	"2007"	"28 weeks"	"28"	458
	"2007"	"2007"	"29 weeks"	"29"	531
	"2007"	"2007"	"30 weeks"	"30"	735
	"2007"	"2007"	"31 weeks"	"31"	950
	"2007"	"2007"	"32 weeks"	"32"	1336
	"2007"	"2007"	"33 weeks"	"33"	1952
	"2007"	"2007"	"34 weeks"	"34"	3262
	"2007"	"2007"	"35 weeks"	"35"	5196
	"2007"	"2007"	"36 weeks"	"36"	9530
	"2007"	"2007"	"37 weeks"	"37"	19369
	"2007"	"2007"	"38 weeks"	"38"	41885
	"2007"	"2007"	"39 weeks"	"39"	63933
	"2007"	"2007"	"40 weeks"	"40"	52684
	"2007"	"2007"	"41 weeks"	"41"	24943
	"2007"	"2007"	"42 weeks"	"42"	7891
	"2007"	"2007"	"43 weeks"	"43"	3673
	"2007"	"2007"	"44 weeks"	"44"	1916
	"2007"	"2007"	"45 weeks"	"45"	992
	"2007"	"2007"	"46 weeks"	"46"	311
	"2007"	"2007"	"47 weeks"	"47"	176
	"2007"	"2007"	"Unknown or Not Stated"	"99"	216
	"2008"	"2008"	"17 weeks"	"17"	15
	"2008"	"2008"	"18 weeks"	"18"	20
	"2008"	"2008"	"19 weeks"	"19"	27
	"2008"	"2008"	"20 weeks"	"20"	50
	"2008"	"2008"	"21 weeks"	"21"	72
	"2008"	"2008"	"22 weeks"	"22"	101
