"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"January"	"1"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"January"	"1"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"January"	"1"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"January"	"1"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"January"	"1"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"January"	"1"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"January"	"1"	"23 weeks"	"23"	15
	"2007"	"2007"	"January"	"1"	"24 weeks"	"24"	15
	"2007"	"2007"	"January"	"1"	"25 weeks"	"25"	21
	"2007"	"2007"	"January"	"1"	"26 weeks"	"26"	26
	"2007"	"2007"	"January"	"1"	"27 weeks"	"27"	29
	"2007"	"2007"	"January"	"1"	"28 weeks"	"28"	38
	"2007"	"2007"	"January"	"1"	"29 weeks"	"29"	43
	"2007"	"2007"	"January"	"1"	"30 weeks"	"30"	70
	"2007"	"2007"	"January"	"1"	"31 weeks"	"31"	73
	"2007"	"2007"	"January"	"1"	"32 weeks"	"32"	110
	"2007"	"2007"	"January"	"1"	"33 weeks"	"33"	141
	"2007"	"2007"	"January"	"1"	"34 weeks"	"34"	250
	"2007"	"2007"	"January"	"1"	"35 weeks"	"35"	423
	"2007"	"2007"	"January"	"1"	"36 weeks"	"36"	752
	"2007"	"2007"	"January"	"1"	"37 weeks"	"37"	1581
	"2007"	"2007"	"January"	"1"	"38 weeks"	"38"	3342
	"2007"	"2007"	"January"	"1"	"39 weeks"	"39"	5337
	"2007"	"2007"	"January"	"1"	"40 weeks"	"40"	4226
	"2007"	"2007"	"January"	"1"	"41 weeks"	"41"	2066
	"2007"	"2007"	"January"	"1"	"42 weeks"	"42"	631
	"2007"	"2007"	"January"	"1"	"43 weeks"	"43"	318
	"2007"	"2007"	"January"	"1"	"44 weeks"	"44"	185
	"2007"	"2007"	"January"	"1"	"45 weeks"	"45"	98
	"2007"	"2007"	"January"	"1"	"46 weeks"	"46"	28
	"2007"	"2007"	"January"	"1"	"47 weeks"	"47"	11
	"2007"	"2007"	"January"	"1"	"Unknown or Not Stated"	"99"	16
"Total"	"2007"	"2007"	"January"	"1"			19866
	"2007"	"2007"	"February"	"2"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"February"	"2"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"February"	"2"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"February"	"2"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"February"	"2"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"February"	"2"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"February"	"2"	"23 weeks"	"23"	13
	"2007"	"2007"	"February"	"2"	"24 weeks"	"24"	18
	"2007"	"2007"	"February"	"2"	"25 weeks"	"25"	13
	"2007"	"2007"	"February"	"2"	"26 weeks"	"26"	26
