"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2007"	"2007"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	1919
	"2007"	"2007"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	73
"Total"	"2007"	"2007"	"January"	"1"	"Sunday"	"1"			2001
	"2007"	"2007"	"January"	"1"	"Monday"	"2"	"Single"	"1"	2940
	"2007"	"2007"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	98
"Total"	"2007"	"2007"	"January"	"1"	"Monday"	"2"			3047
	"2007"	"2007"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	3396
	"2007"	"2007"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	122
"Total"	"2007"	"2007"	"January"	"1"	"Tuesday"	"3"			3521
	"2007"	"2007"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	3629
	"2007"	"2007"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	168
"Total"	"2007"	"2007"	"January"	"1"	"Wednesday"	"4"			3806
	"2007"	"2007"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	2916
	"2007"	"2007"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	131
"Total"	"2007"	"2007"	"January"	"1"	"Thursday"	"5"			3053
	"2007"	"2007"	"January"	"1"	"Friday"	"6"	"Single"	"1"	2935
	"2007"	"2007"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	127
"Total"	"2007"	"2007"	"January"	"1"	"Friday"	"6"			3071
	"2007"	"2007"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2131
	"2007"	"2007"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	58
"Total"	"2007"	"2007"	"January"	"1"	"Saturday"	"7"			2192
"Total"	"2007"	"2007"	"January"	"1"					20691
	"2007"	"2007"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1943
	"2007"	"2007"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	74
"Total"	"2007"	"2007"	"February"	"2"	"Sunday"	"1"			2020
	"2007"	"2007"	"February"	"2"	"Monday"	"2"	"Single"	"1"	2555
	"2007"	"2007"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	82
"Total"	"2007"	"2007"	"February"	"2"	"Monday"	"2"			2640
	"2007"	"2007"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2835
	"2007"	"2007"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	107
"Total"	"2007"	"2007"	"February"	"2"	"Tuesday"	"3"			2945
	"2007"	"2007"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2950
	"2007"	"2007"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	136
"Total"	"2007"	"2007"	"February"	"2"	"Wednesday"	"4"			3089
	"2007"	"2007"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2839
	"2007"	"2007"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	136
"Total"	"2007"	"2007"	"February"	"2"	"Thursday"	"5"			2978
	"2007"	"2007"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2992
	"2007"	"2007"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	125
"Total"	"2007"	"2007"	"February"	"2"	"Friday"	"6"			3126
	"2007"	"2007"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	2208
	"2007"	"2007"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	68
"Total"	"2007"	"2007"	"February"	"2"	"Saturday"	"7"			2279
"Total"	"2007"	"2007"	"February"	"2"					19077
	"2007"	"2007"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	1806
