STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",1/1/2007,,56,46
USW00014732,"LAGUARDIA AIRPORT, NY US",1/2/2007,,52,43
USW00014732,"LAGUARDIA AIRPORT, NY US",1/3/2007,,53,39
USW00014732,"LAGUARDIA AIRPORT, NY US",1/4/2007,,58,44
USW00014732,"LAGUARDIA AIRPORT, NY US",1/5/2007,,62,51
USW00014732,"LAGUARDIA AIRPORT, NY US",1/6/2007,,72,55
USW00014732,"LAGUARDIA AIRPORT, NY US",1/7/2007,,56,46
USW00014732,"LAGUARDIA AIRPORT, NY US",1/8/2007,,57,40
USW00014732,"LAGUARDIA AIRPORT, NY US",1/9/2007,,45,37
USW00014732,"LAGUARDIA AIRPORT, NY US",1/10/2007,,38,31
USW00014732,"LAGUARDIA AIRPORT, NY US",1/11/2007,,41,29
USW00014732,"LAGUARDIA AIRPORT, NY US",1/12/2007,,50,39
USW00014732,"LAGUARDIA AIRPORT, NY US",1/13/2007,,57,46
USW00014732,"LAGUARDIA AIRPORT, NY US",1/14/2007,,46,42
USW00014732,"LAGUARDIA AIRPORT, NY US",1/15/2007,,51,41
USW00014732,"LAGUARDIA AIRPORT, NY US",1/16/2007,,57,25
USW00014732,"LAGUARDIA AIRPORT, NY US",1/17/2007,,31,21
USW00014732,"LAGUARDIA AIRPORT, NY US",1/18/2007,,38,25
USW00014732,"LAGUARDIA AIRPORT, NY US",1/19/2007,,43,33
USW00014732,"LAGUARDIA AIRPORT, NY US",1/20/2007,,35,23
USW00014732,"LAGUARDIA AIRPORT, NY US",1/21/2007,,31,21
USW00014732,"LAGUARDIA AIRPORT, NY US",1/22/2007,,34,28
USW00014732,"LAGUARDIA AIRPORT, NY US",1/23/2007,,38,30
USW00014732,"LAGUARDIA AIRPORT, NY US",1/24/2007,,40,34
USW00014732,"LAGUARDIA AIRPORT, NY US",1/25/2007,,37,17
USW00014732,"LAGUARDIA AIRPORT, NY US",1/26/2007,,24,11
USW00014732,"LAGUARDIA AIRPORT, NY US",1/27/2007,,41,22
USW00014732,"LAGUARDIA AIRPORT, NY US",1/28/2007,,43,32
USW00014732,"LAGUARDIA AIRPORT, NY US",1/29/2007,,32,24
USW00014732,"LAGUARDIA AIRPORT, NY US",1/30/2007,,37,23
USW00014732,"LAGUARDIA AIRPORT, NY US",1/31/2007,,34,27
USW00014732,"LAGUARDIA AIRPORT, NY US",2/1/2007,,37,28
USW00014732,"LAGUARDIA AIRPORT, NY US",2/2/2007,,39,34
USW00014732,"LAGUARDIA AIRPORT, NY US",2/3/2007,,38,25
USW00014732,"LAGUARDIA AIRPORT, NY US",2/4/2007,,31,18
USW00014732,"LAGUARDIA AIRPORT, NY US",2/5/2007,,20,10
USW00014732,"LAGUARDIA AIRPORT, NY US",2/6/2007,,26,13
USW00014732,"LAGUARDIA AIRPORT, NY US",2/7/2007,,27,14
USW00014732,"LAGUARDIA AIRPORT, NY US",2/8/2007,,30,17
USW00014732,"LAGUARDIA AIRPORT, NY US",2/9/2007,,33,20
USW00014732,"LAGUARDIA AIRPORT, NY US",2/10/2007,,34,25
USW00014732,"LAGUARDIA AIRPORT, NY US",2/11/2007,,34,21
USW00014732,"LAGUARDIA AIRPORT, NY US",2/12/2007,,41,30
USW00014732,"LAGUARDIA AIRPORT, NY US",2/13/2007,,34,23
USW00014732,"LAGUARDIA AIRPORT, NY US",2/14/2007,,31,19
USW00014732,"LAGUARDIA AIRPORT, NY US",2/15/2007,,25,17
USW00014732,"LAGUARDIA AIRPORT, NY US",2/16/2007,,30,16
USW00014732,"LAGUARDIA AIRPORT, NY US",2/17/2007,,36,22
USW00014732,"LAGUARDIA AIRPORT, NY US",2/18/2007,,35,20
USW00014732,"LAGUARDIA AIRPORT, NY US",2/19/2007,,29,14
USW00014732,"LAGUARDIA AIRPORT, NY US",2/20/2007,,49,29
USW00014732,"LAGUARDIA AIRPORT, NY US",2/21/2007,,49,39
USW00014732,"LAGUARDIA AIRPORT, NY US",2/22/2007,,46,33
USW00014732,"LAGUARDIA AIRPORT, NY US",2/23/2007,,40,23
USW00014732,"LAGUARDIA AIRPORT, NY US",2/24/2007,,43,22
USW00014732,"LAGUARDIA AIRPORT, NY US",2/25/2007,,39,26
USW00014732,"LAGUARDIA AIRPORT, NY US",2/26/2007,,37,31
USW00014732,"LAGUARDIA AIRPORT, NY US",2/27/2007,,43,35
USW00014732,"LAGUARDIA AIRPORT, NY US",2/28/2007,,46,37
USW00014732,"LAGUARDIA AIRPORT, NY US",3/1/2007,,45,33
USW00014732,"LAGUARDIA AIRPORT, NY US",3/2/2007,,61,36
USW00014732,"LAGUARDIA AIRPORT, NY US",3/3/2007,,59,37
USW00014732,"LAGUARDIA AIRPORT, NY US",3/4/2007,,42,35
USW00014732,"LAGUARDIA AIRPORT, NY US",3/5/2007,,42,23
USW00014732,"LAGUARDIA AIRPORT, NY US",3/6/2007,,24,14
USW00014732,"LAGUARDIA AIRPORT, NY US",3/7/2007,,25,14
USW00014732,"LAGUARDIA AIRPORT, NY US",3/8/2007,,35,20
USW00014732,"LAGUARDIA AIRPORT, NY US",3/9/2007,,34,15
USW00014732,"LAGUARDIA AIRPORT, NY US",3/10/2007,,55,30
USW00014732,"LAGUARDIA AIRPORT, NY US",3/11/2007,,50,40
USW00014732,"LAGUARDIA AIRPORT, NY US",3/12/2007,,56,36
