"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2007"	"2007"	"January"	"1"	"Single"	"1"	19866
	"2007"	"2007"	"January"	"1"	"Twin"	"2"	777
	"2007"	"2007"	"January"	"1"	"Triplet"	"3"	48
	"2007"	"2007"	"February"	"2"	"Single"	"1"	18322
	"2007"	"2007"	"February"	"2"	"Twin"	"2"	728
	"2007"	"2007"	"February"	"2"	"Triplet"	"3"	27
	"2007"	"2007"	"March"	"3"	"Single"	"1"	20565
	"2007"	"2007"	"March"	"3"	"Twin"	"2"	799
	"2007"	"2007"	"March"	"3"	"Triplet"	"3"	65
	"2007"	"2007"	"April"	"4"	"Single"	"1"	19102
	"2007"	"2007"	"April"	"4"	"Twin"	"2"	789
	"2007"	"2007"	"April"	"4"	"Triplet"	"3"	18
	"2007"	"2007"	"May"	"5"	"Single"	"1"	20681
	"2007"	"2007"	"May"	"5"	"Twin"	"2"	838
	"2007"	"2007"	"May"	"5"	"Triplet"	"3"	33
	"2007"	"2007"	"June"	"6"	"Single"	"1"	20624
	"2007"	"2007"	"June"	"6"	"Twin"	"2"	813
	"2007"	"2007"	"June"	"6"	"Triplet"	"3"	51
	"2007"	"2007"	"July"	"7"	"Single"	"1"	21275
	"2007"	"2007"	"July"	"7"	"Twin"	"2"	886
	"2007"	"2007"	"July"	"7"	"Triplet"	"3"	36
	"2007"	"2007"	"August"	"8"	"Single"	"1"	21722
	"2007"	"2007"	"August"	"8"	"Twin"	"2"	759
	"2007"	"2007"	"August"	"8"	"Triplet"	"3"	30
	"2007"	"2007"	"September"	"9"	"Single"	"1"	20656
	"2007"	"2007"	"September"	"9"	"Twin"	"2"	768
	"2007"	"2007"	"September"	"9"	"Triplet"	"3"	33
	"2007"	"2007"	"October"	"10"	"Single"	"1"	20665
	"2007"	"2007"	"October"	"10"	"Twin"	"2"	871
	"2007"	"2007"	"October"	"10"	"Triplet"	"3"	51
	"2007"	"2007"	"November"	"11"	"Single"	"1"	20162
	"2007"	"2007"	"November"	"11"	"Twin"	"2"	802
	"2007"	"2007"	"November"	"11"	"Triplet"	"3"	36
	"2007"	"2007"	"December"	"12"	"Single"	"1"	19733
	"2007"	"2007"	"December"	"12"	"Twin"	"2"	753
	"2007"	"2007"	"December"	"12"	"Triplet"	"3"	47
	"2008"	"2008"	"January"	"1"	"Single"	"1"	19943
	"2008"	"2008"	"January"	"1"	"Twin"	"2"	781
	"2008"	"2008"	"January"	"1"	"Triplet"	"3"	68
	"2008"	"2008"	"February"	"2"	"Single"	"1"	18911
	"2008"	"2008"	"February"	"2"	"Twin"	"2"	702
	"2008"	"2008"	"February"	"2"	"Triplet"	"3"	34
	"2008"	"2008"	"March"	"3"	"Single"	"1"	19916
	"2008"	"2008"	"March"	"3"	"Twin"	"2"	778
	"2008"	"2008"	"March"	"3"	"Triplet"	"3"	42
	"2008"	"2008"	"April"	"4"	"Single"	"1"	19731
	"2008"	"2008"	"April"	"4"	"Twin"	"2"	772
	"2008"	"2008"	"April"	"4"	"Triplet"	"3"	17
	"2008"	"2008"	"May"	"5"	"Single"	"1"	20638
	"2008"	"2008"	"May"	"5"	"Twin"	"2"	734
	"2008"	"2008"	"May"	"5"	"Triplet"	"3"	27
	"2008"	"2008"	"June"	"6"	"Single"	"1"	20049
	"2008"	"2008"	"June"	"6"	"Twin"	"2"	788
	"2008"	"2008"	"June"	"6"	"Triplet"	"3"	29
	"2008"	"2008"	"July"	"7"	"Single"	"1"	21017
	"2008"	"2008"	"July"	"7"	"Twin"	"2"	864
	"2008"	"2008"	"July"	"7"	"Triplet"	"3"	24
	"2008"	"2008"	"August"	"8"	"Single"	"1"	21007
	"2008"	"2008"	"August"	"8"	"Twin"	"2"	775
	"2008"	"2008"	"August"	"8"	"Triplet"	"3"	34
	"2008"	"2008"	"September"	"9"	"Single"	"1"	20970
	"2008"	"2008"	"September"	"9"	"Twin"	"2"	699
	"2008"	"2008"	"September"	"9"	"Triplet"	"3"	36
	"2008"	"2008"	"October"	"10"	"Single"	"1"	20436
	"2008"	"2008"	"October"	"10"	"Twin"	"2"	830
	"2008"	"2008"	"October"	"10"	"Triplet"	"3"	50
	"2008"	"2008"	"November"	"11"	"Single"	"1"	18489
	"2008"	"2008"	"November"	"11"	"Twin"	"2"	715
	"2008"	"2008"	"November"	"11"	"Triplet"	"3"	59
	"2008"	"2008"	"December"	"12"	"Single"	"1"	19612
	"2008"	"2008"	"December"	"12"	"Twin"	"2"	744
	"2008"	"2008"	"December"	"12"	"Triplet"	"3"	23
	"2009"	"2009"	"January"	"1"	"Single"	"1"	19538
	"2009"	"2009"	"January"	"1"	"Twin"	"2"	773
	"2009"	"2009"	"January"	"1"	"Triplet"	"3"	21
	"2009"	"2009"	"February"	"2"	"Single"	"1"	18323
	"2009"	"2009"	"February"	"2"	"Twin"	"2"	677
	"2009"	"2009"	"February"	"2"	"Triplet"	"3"	24
	"2009"	"2009"	"March"	"3"	"Single"	"1"	19934
	"2009"	"2009"	"March"	"3"	"Twin"	"2"	814
	"2009"	"2009"	"March"	"3"	"Triplet"	"3"	62
	"2009"	"2009"	"April"	"4"	"Single"	"1"	19691
	"2009"	"2009"	"April"	"4"	"Twin"	"2"	757
	"2009"	"2009"	"April"	"4"	"Triplet"	"3"	54
	"2009"	"2009"	"May"	"5"	"Single"	"1"	20171
	"2009"	"2009"	"May"	"5"	"Twin"	"2"	817
	"2009"	"2009"	"May"	"5"	"Triplet"	"3"	57
	"2009"	"2009"	"June"	"6"	"Single"	"1"	20512
	"2009"	"2009"	"June"	"6"	"Twin"	"2"	832
	"2009"	"2009"	"June"	"6"	"Triplet"	"3"	45
	"2009"	"2009"	"July"	"7"	"Single"	"1"	21279
	"2009"	"2009"	"July"	"7"	"Twin"	"2"	839
	"2009"	"2009"	"July"	"7"	"Triplet"	"3"	44
	"2009"	"2009"	"August"	"8"	"Single"	"1"	20449
	"2009"	"2009"	"August"	"8"	"Twin"	"2"	779
	"2009"	"2009"	"August"	"8"	"Triplet"	"3"	27
	"2009"	"2009"	"September"	"9"	"Single"	"1"	20427
	"2009"	"2009"	"September"	"9"	"Twin"	"2"	771
	"2009"	"2009"	"September"	"9"	"Triplet"	"3"	50
	"2009"	"2009"	"October"	"10"	"Single"	"1"	19878
	"2009"	"2009"	"October"	"10"	"Twin"	"2"	843
	"2009"	"2009"	"October"	"10"	"Triplet"	"3"	53
	"2009"	"2009"	"November"	"11"	"Single"	"1"	18404
	"2009"	"2009"	"November"	"11"	"Twin"	"2"	762
	"2009"	"2009"	"November"	"11"	"Triplet"	"3"	32
	"2009"	"2009"	"December"	"12"	"Single"	"1"	19457
	"2009"	"2009"	"December"	"12"	"Twin"	"2"	850
	"2009"	"2009"	"December"	"12"	"Triplet"	"3"	39
	"2010"	"2010"	"January"	"1"	"Single"	"1"	18757
	"2010"	"2010"	"January"	"1"	"Twin"	"2"	739
	"2010"	"2010"	"January"	"1"	"Triplet"	"3"	42
	"2010"	"2010"	"February"	"2"	"Single"	"1"	17451
	"2010"	"2010"	"February"	"2"	"Twin"	"2"	714
	"2010"	"2010"	"February"	"2"	"Triplet"	"3"	35
	"2010"	"2010"	"March"	"3"	"Single"	"1"	19680
	"2010"	"2010"	"March"	"3"	"Twin"	"2"	750
	"2010"	"2010"	"March"	"3"	"Triplet"	"3"	32
	"2010"	"2010"	"April"	"4"	"Single"	"1"	19305
	"2010"	"2010"	"April"	"4"	"Twin"	"2"	788
	"2010"	"2010"	"April"	"4"	"Triplet"	"3"	40
	"2010"	"2010"	"May"	"5"	"Single"	"1"	19595
	"2010"	"2010"	"May"	"5"	"Twin"	"2"	731
	"2010"	"2010"	"May"	"5"	"Triplet"	"3"	32
	"2010"	"2010"	"June"	"6"	"Single"	"1"	20142
	"2010"	"2010"	"June"	"6"	"Twin"	"2"	707
	"2010"	"2010"	"June"	"6"	"Triplet"	"3"	41
	"2010"	"2010"	"July"	"7"	"Single"	"1"	20712
	"2010"	"2010"	"July"	"7"	"Twin"	"2"	773
	"2010"	"2010"	"July"	"7"	"Triplet"	"3"	32
	"2010"	"2010"	"August"	"8"	"Single"	"1"	20331
	"2010"	"2010"	"August"	"8"	"Twin"	"2"	786
	"2010"	"2010"	"August"	"8"	"Triplet"	"3"	30
	"2010"	"2010"	"September"	"9"	"Single"	"1"	20030
	"2010"	"2010"	"September"	"9"	"Twin"	"2"	781
	"2010"	"2010"	"September"	"9"	"Triplet"	"3"	49
	"2010"	"2010"	"October"	"10"	"Single"	"1"	19931
	"2010"	"2010"	"October"	"10"	"Twin"	"2"	828
	"2010"	"2010"	"October"	"10"	"Triplet"	"3"	32
	"2010"	"2010"	"November"	"11"	"Single"	"1"	19089
	"2010"	"2010"	"November"	"11"	"Twin"	"2"	786
	"2010"	"2010"	"November"	"11"	"Triplet"	"3"	31
	"2010"	"2010"	"December"	"12"	"Single"	"1"	19733
	"2010"	"2010"	"December"	"12"	"Twin"	"2"	776
	"2010"	"2010"	"December"	"12"	"Triplet"	"3"	36
	"2010"	"2010"	"December"	"12"	"Quadruplet"	"4"	11
	"2011"	"2011"	"January"	"1"	"Single"	"1"	18776
	"2011"	"2011"	"January"	"1"	"Twin"	"2"	763
	"2011"	"2011"	"January"	"1"	"Triplet"	"3"	44
	"2011"	"2011"	"February"	"2"	"Single"	"1"	17354
	"2011"	"2011"	"February"	"2"	"Twin"	"2"	651
	"2011"	"2011"	"February"	"2"	"Triplet"	"3"	48
	"2011"	"2011"	"March"	"3"	"Single"	"1"	19235
	"2011"	"2011"	"March"	"3"	"Twin"	"2"	808
	"2011"	"2011"	"March"	"3"	"Triplet"	"3"	30
	"2011"	"2011"	"April"	"4"	"Single"	"1"	18478
	"2011"	"2011"	"April"	"4"	"Twin"	"2"	733
	"2011"	"2011"	"April"	"4"	"Triplet"	"3"	25
	"2011"	"2011"	"May"	"5"	"Single"	"1"	19751
	"2011"	"2011"	"May"	"5"	"Twin"	"2"	719
	"2011"	"2011"	"May"	"5"	"Triplet"	"3"	36
	"2011"	"2011"	"June"	"6"	"Single"	"1"	20086
	"2011"	"2011"	"June"	"6"	"Twin"	"2"	736
	"2011"	"2011"	"June"	"6"	"Triplet"	"3"	28
	"2011"	"2011"	"July"	"7"	"Single"	"1"	20311
	"2011"	"2011"	"July"	"7"	"Twin"	"2"	887
	"2011"	"2011"	"July"	"7"	"Triplet"	"3"	30
	"2011"	"2011"	"August"	"8"	"Single"	"1"	20690
	"2011"	"2011"	"August"	"8"	"Twin"	"2"	760
	"2011"	"2011"	"August"	"8"	"Triplet"	"3"	26
	"2011"	"2011"	"September"	"9"	"Single"	"1"	20056
	"2011"	"2011"	"September"	"9"	"Twin"	"2"	773
	"2011"	"2011"	"September"	"9"	"Triplet"	"3"	39
	"2011"	"2011"	"October"	"10"	"Single"	"1"	19229
